,EVENT,DATE,LOCATION,BOUT,WINNER,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL
80,UFC Fight Night: Magny Vs. Prates,"November 09, 2024","Las Vegas, Nevada, USA",Neil Magny  vs  Carlos Prates,Carlos Prates,Welterweight Bout,KO/TKO,1,4:50,5 Rnd (5-5-5-5-5),Mark Smith,Punch to Head At Distance ,http://ufcstats.com/fight-details/73f451d894a1d4ca
81,UFC Fight Night: Magny Vs. Prates,"November 09, 2024","Las Vegas, Nevada, USA",Gerald Meerschaert  vs  Reinier de Ridder,Reinier de Ridder,Middleweight Bout,Submission,3,1:44,3 Rnd (5-5-5),Mike Beltran,Arm Triangle From Mount ,http://ufcstats.com/fight-details/154138c8fc89c315
82,UFC Fight Night: Magny Vs. Prates,"November 09, 2024","Las Vegas, Nevada, USA",Gaston Bolanos  vs  Cortavious Romious,Gaston Bolanos,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Tony Weeks 26 - 30.Chris Lee 27 - 30.Sal D'amato 27 - 30.,http://ufcstats.com/fight-details/e6685759ed2af90d
83,UFC Fight Night: Magny Vs. Prates,"November 09, 2024","Las Vegas, Nevada, USA",Luana Pinheiro  vs  Gillian Robertson,Gillian Robertson,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Derek Cleary 27 - 29.Adalaide Byrd 28 - 29.Mike Bell 28 - 29.,http://ufcstats.com/fight-details/c31d9cac7534d879
84,UFC Fight Night: Magny Vs. Prates,"November 09, 2024","Las Vegas, Nevada, USA",Mansur Abdul-Malik  vs  Dusko Todorovic,Mansur Abdul-Malik,Middleweight Bout,KO/TKO,1,2:44,3 Rnd (5-5-5),Mike Beltran,Punches to Head On Ground ,http://ufcstats.com/fight-details/ea6427379a83bd01
85,UFC Fight Night: Magny Vs. Prates,"November 09, 2024","Las Vegas, Nevada, USA",Karolina Kowalkiewicz  vs  Denise Gomes,Denise Gomes,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Sal D'amato 27 - 30.Mike Bell 27 - 30.Derek Cleary 28 - 29.,http://ufcstats.com/fight-details/e62033cb1e79aa81
86,UFC Fight Night: Magny Vs. Prates,"November 09, 2024","Las Vegas, Nevada, USA",Elizeu Zaleski dos Santos  vs  Zachary Scroggin,Elizeu Zaleski dos Santos,Welterweight Bout,KO/TKO,1,1:15,3 Rnd (5-5-5),Chris Tognoni,Punches to Head On Ground ,http://ufcstats.com/fight-details/c9d2a718f39274c0
87,UFC Fight Night: Magny Vs. Prates,"November 09, 2024","Las Vegas, Nevada, USA",Matthew Semelsberger  vs  Charles Radtke,Charles Radtke,Welterweight Bout,KO/TKO,1,0:51,3 Rnd (5-5-5),Kerry Hatley,Punches to Head At Distance ,http://ufcstats.com/fight-details/6b9ed3867dd42b3b
88,UFC Fight Night: Magny Vs. Prates,"November 09, 2024","Las Vegas, Nevada, USA",Cody Stamann  vs  Da'Mon Blackshear,Da'Mon Blackshear,Bantamweight Bout,Submission,1,4:19,3 Rnd (5-5-5),Mike Beltran,Rear Naked Choke ,http://ufcstats.com/fight-details/6fd1edb58d271f7c
89,UFC Fight Night: Magny Vs. Prates,"November 09, 2024","Las Vegas, Nevada, USA",Tresean Gore  vs  Antonio Trocoli,Tresean Gore,Middleweight Bout,Submission,1,1:23,3 Rnd (5-5-5),Kerry Hatley,Guillotine Choke Standing ,http://ufcstats.com/fight-details/582846744e379178
90,UFC Fight Night: Magny Vs. Prates,"November 09, 2024","Las Vegas, Nevada, USA",Melissa Mullins  vs  Klaudia Sygula,Melissa Mullins,Women's Bantamweight Bout,KO/TKO,2,1:20,3 Rnd (5-5-5),Chris Tognoni,Punches to Head From Back Control ,http://ufcstats.com/fight-details/32f2965b4f4c4ebf
91,UFC Fight Night: Moreno Vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",Brandon Moreno  vs  Amir Albazi,Brandon Moreno,Flyweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Eric Colon 46 - 49.Sal D'amato 45 - 50.Derek Cleary 45 - 50.,http://ufcstats.com/fight-details/799acf3ae8a5df0a
92,UFC Fight Night: Moreno Vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",Erin Blanchfield  vs  Rose Namajunas,Erin Blanchfield,Women's Flyweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Blake Grice,Junichiro Kamijo 47 - 48.Mike Bell 47 - 48.Derek Cleary 47 - 48.,http://ufcstats.com/fight-details/18729b11614406bf
93,UFC Fight Night: Moreno Vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",Caio Machado  vs  Brendson Ribeiro,Brendson Ribeiro,Light Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Jerin Valel,Sal D'amato 28 - 29.Thomas Collins 29 - 28.Mike Bell 28 - 29.,http://ufcstats.com/fight-details/7edf2fe3a8776a44
94,UFC Fight Night: Moreno Vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",Ariane da Silva  vs  Jasmine Jasudavicius,Jasmine Jasudavicius,Women's Flyweight Bout,Submission,3,2:28,3 Rnd (5-5-5),Luke Boutin,D'Arce Choke On Ground ,http://ufcstats.com/fight-details/eaa885cf7ae31e0b
95,UFC Fight Night: Moreno Vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",Marc-Andre Barriault  vs  Dustin Stoltzfus,Dustin Stoltzfus,Middleweight Bout,KO/TKO,1,4:28,3 Rnd (5-5-5),Marc Goddard,Punch to Head In Clinch ,http://ufcstats.com/fight-details/6ad594777cce2d7d
96,UFC Fight Night: Moreno Vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",Mike Malott  vs  Trevin Giles,Mike Malott,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Andy Social,Eric Colon 27 - 30.Thomas Collins 28 - 29.Mike Bell 28 - 29.,http://ufcstats.com/fight-details/d29a82322bb083d9
97,UFC Fight Night: Moreno Vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",Aiemann Zahabi  vs  Pedro Munhoz,Aiemann Zahabi,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,Sal D'amato 27 - 30.Eric Colon 28 - 29.Mike Bell 28 - 29.,http://ufcstats.com/fight-details/b989d4d7e220b3c1
98,UFC Fight Night: Moreno Vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",Charles Jourdain  vs  Victor Henry,Charles Jourdain,Bantamweight Bout,Submission,2,3:43,3 Rnd (5-5-5),Blake Grice,Guillotine Choke Standing ,http://ufcstats.com/fight-details/24581e2b39fe3319
99,UFC Fight Night: Moreno Vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",Jack Shore  vs  Youssef Zalal,Youssef Zalal,Featherweight Bout,Submission,2,0:59,3 Rnd (5-5-5),Luke Boutin,Arm Triangle From Half Guard ,http://ufcstats.com/fight-details/5256ba94641a4284
100,UFC Fight Night: Moreno Vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",Alexandr Romanov  vs  Rodrigo Nascimento,Alexandr Romanov,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Jason Tatlow 27 - 30.Thomas Collins 27 - 30.Sal D'amato 27 - 30.,http://ufcstats.com/fight-details/de084f0d65421cfa
101,UFC Fight Night: Moreno Vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",Serhiy Sidey  vs  Garrett Armfield,Serhiy Sidey,Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Andy Social,Derek Cleary 28 - 29.Mike Bell 29 - 28.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/f93b074dfd47b4b4
102,UFC Fight Night: Moreno Vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",Chad Anheliger  vs  Cody Gibson,Cody Gibson,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,Derek Cleary 26 - 30.Junichiro Kamijo 27 - 30.Ziad Harb 27 - 30.,http://ufcstats.com/fight-details/c9cef59a5de32219
103,UFC Fight Night: Moreno Vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",Jamey-Lyn Horth  vs  Ivana Petrovic,Jamey-Lyn Horth,Women's Flyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Blake Grice,Eric Colon 27 - 30.Thomas Collins 29 - 28.Mike Bell 28 - 29.,http://ufcstats.com/fight-details/f0723cda67db3954
104,UFC Fight Night: Hernandez Vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",Anthony Hernandez  vs  Michel Pereira,Anthony Hernandez,Middleweight Bout,KO/TKO,5,2:22,5 Rnd (5-5-5-5-5),Herb Dean,Elbows to Head On Ground ,http://ufcstats.com/fight-details/a2f2c64f9fb3fb1c
105,UFC Fight Night: Hernandez Vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",Rob Font  vs  Kyler Phillips,Rob Font,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Mike Bell 28 - 29.Derek Cleary 28 - 29.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/f01b97e864cb4b8b
106,UFC Fight Night: Hernandez Vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",Charles Johnson  vs   Sumudaerji,Charles Johnson,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 28 - 29.Chris Leben 28 - 29.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/503d7342cc08109f
107,UFC Fight Night: Hernandez Vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",Jake Hadley  vs  Cameron Smotherman,Cameron Smotherman,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Adalaide Byrd 26 - 30.Ben Cartlidge 27 - 29.Derek Cleary 27 - 29.,http://ufcstats.com/fight-details/a2f46e94aa6b0c64
108,UFC Fight Night: Hernandez Vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",Darren Elkins  vs  Daniel Pineda,Darren Elkins,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Ben Cartlidge 28 - 29.Junichiro Kamijo 28 - 29.Tony Weeks 28 - 29.,http://ufcstats.com/fight-details/0599f35e6679de02
109,UFC Fight Night: Hernandez Vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",Matheus Nicolau  vs  Asu Almabayev,Asu Almabayev,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Mike Bell 28 - 29.Ron McCarthy 28 - 29.Brian Puccillo 28 - 29.,http://ufcstats.com/fight-details/c61923255389e67c
110,UFC Fight Night: Hernandez Vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",Brad Katona  vs  Jean Matsumoto,Jean Matsumoto,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 28 - 29.Derek Cleary 28 - 29.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/308f6cb830019ea9
111,UFC Fight Night: Hernandez Vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",Joselyne Edwards  vs  Tamires Vidal,Joselyne Edwards,Women's Bantamweight Bout,Submission,3,4:33,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke ,http://ufcstats.com/fight-details/fc73ecbd83b7f159
112,UFC Fight Night: Hernandez Vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",Jessica Penne  vs  Elise Reed,Elise Reed,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Adalaide Byrd 28 - 29.Derek Cleary 28 - 29.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/53f7f1b4834387a8
113,UFC Fight Night: Hernandez Vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",Melissa Martinez  vs  Alice Ardelean,Melissa Martinez,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Mike Bell 27 - 30.Ron McCarthy 27 - 30.Tony Weeks 27 - 30.,http://ufcstats.com/fight-details/4277b02a4dadac40
114,UFC Fight Night: Hernandez Vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",Austen Lane  vs  Robelis Despaigne,Austen Lane,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Adalaide Byrd 28 - 29.Junichiro Kamijo 28 - 29.Brian Puccillo 28 - 29.,http://ufcstats.com/fight-details/32b8c6c4b735d712
115,UFC Fight Night: Royval Vs. Taira,"October 12, 2024","Las Vegas, Nevada, USA",Brandon Royval  vs  Tatsuro Taira,Brandon Royval,Flyweight Bout,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,Chris Lee 47 - 48.Sal D'amato 48 - 47.Ron McCarthy 47 - 48.,http://ufcstats.com/fight-details/998bde5639c61adb
116,UFC Fight Night: Royval Vs. Taira,"October 12, 2024","Las Vegas, Nevada, USA",Brad Tavares  vs  JunYong Park,JunYong Park,Middleweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Junichiro Kamijo 29 - 28.Mike Bell 28 - 29.Eric Colon 28 - 29.,http://ufcstats.com/fight-details/6fa2dae90bda4742
117,UFC Fight Night: Royval Vs. Taira,"October 12, 2024","Las Vegas, Nevada, USA",Chidi Njokuani  vs  Jared Gooden,Chidi Njokuani,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 27 - 30.Chris Lee 27 - 30.Tony Weeks 27 - 30.,http://ufcstats.com/fight-details/ee5c0b8a757992af
118,UFC Fight Night: Royval Vs. Taira,"October 12, 2024","Las Vegas, Nevada, USA",Grant Dawson  vs  Rafa Garcia,Grant Dawson,Lightweight Bout,KO/TKO,2,1:42,3 Rnd (5-5-5),Chris Tognoni,Punches to Head From Back Control ,http://ufcstats.com/fight-details/98c29ba02cee5ba3
119,UFC Fight Night: Royval Vs. Taira,"October 12, 2024","Las Vegas, Nevada, USA",Daniel Rodriguez  vs  Alex Morono,Daniel Rodriguez,Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Adalaide Byrd 28 - 29.Sal D'amato 29 - 28.Mike Bell 28 - 29.,http://ufcstats.com/fight-details/f690949d90ff1dee
120,UFC Fight Night: Royval Vs. Taira,"October 12, 2024","Las Vegas, Nevada, USA",CJ Vergara  vs  Ramazan Temirov,Ramazan Temirov,Flyweight Bout,KO/TKO,1,2:50,3 Rnd (5-5-5),Jason Herzog,Punch to Body At Distance ,http://ufcstats.com/fight-details/f1cc9169813c4a3e
121,UFC Fight Night: Royval Vs. Taira,"October 12, 2024","Las Vegas, Nevada, USA",Jonathan Pearce  vs  Pat Sabatini,Pat Sabatini,Featherweight Bout,Submission,1,4:06,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke ,http://ufcstats.com/fight-details/69a5895fde58432c
122,UFC Fight Night: Royval Vs. Taira,"October 12, 2024","Las Vegas, Nevada, USA",Themba Gorimbo  vs  Niko Price,Themba Gorimbo,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Mike Bell 27 - 30.Eric Colon 27 - 30.Sal D'amato 27 - 30.,http://ufcstats.com/fight-details/57415110bd494c79
123,UFC Fight Night: Royval Vs. Taira,"October 12, 2024","Las Vegas, Nevada, USA",Junior Tafa  vs  Sean Sharaf,Junior Tafa,Heavyweight Bout,KO/TKO,2,2:15,3 Rnd (5-5-5),Mark Smith,Punches to Head At Distance ,http://ufcstats.com/fight-details/85854504ce1aa97a
124,UFC Fight Night: Royval Vs. Taira,"October 12, 2024","Las Vegas, Nevada, USA",Julia Polastri  vs  Cory McKenna,Julia Polastri,Women's Strawweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Adalaide Byrd 28 - 29.Sal D'amato 29 - 28.Ron McCarthy 27 - 30.,http://ufcstats.com/fight-details/48dd2c9cb39bd2d4
125,UFC Fight Night: Royval Vs. Taira,"October 12, 2024","Las Vegas, Nevada, USA",Dan Argueta  vs  Cody Haddon,Cody Haddon,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 27 - 30.Chris Lee 27 - 30.Tony Weeks 27 - 30.,http://ufcstats.com/fight-details/b23554da35a84fbc
126,UFC Fight Night: Royval Vs. Taira,"October 12, 2024","Las Vegas, Nevada, USA",Clayton Carpenter  vs  Lucas Rocha,Clayton Carpenter,Flyweight Bout,Submission,2,2:12,3 Rnd (5-5-5),Mark Smith,Rear Naked Choke ,http://ufcstats.com/fight-details/de484433eef22e1d
127,UFC 307: Pereira Vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",Alex Pereira  vs  Khalil Rountree Jr.,Alex Pereira,UFC Light Heavyweight Title Bout,KO/TKO,4,4:32,5 Rnd (5-5-5-5-5),Marc Goddard,Punch to Head At Distance ,http://ufcstats.com/fight-details/8c5e06c71f392f33
128,UFC 307: Pereira Vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",Raquel Pennington  vs  Julianna Pena,Julianna Pena,UFC Women's Bantamweight Title Bout,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,Sal D'amato 47 - 48.Derek Cleary 48 - 47.Mike Bell 47 - 48.,http://ufcstats.com/fight-details/1d68bb733de24b06
129,UFC 307: Pereira Vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",Jose Aldo  vs  Mario Bautista,Mario Bautista,Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mike Beltran,Chris Lee 29 - 28.Derek Cleary 28 - 29.Mike Bell 28 - 29.,http://ufcstats.com/fight-details/3d7d82fff71e395a
130,UFC 307: Pereira Vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",Roman Dolidze  vs  Kevin Holland,Roman Dolidze,Middleweight Bout,KO/TKO,1,5:00,3 Rnd (5-5-5),Jason Herzog,to ,http://ufcstats.com/fight-details/5931cd9cf5da5f75
131,UFC 307: Pereira Vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",Ketlen Vieira  vs  Kayla Harrison,Kayla Harrison,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Derek Cleary 27 - 30.Sal D'amato 27 - 30.Steve Faragher 28 - 29.,http://ufcstats.com/fight-details/9ea124a13d071186
132,UFC 307: Pereira Vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",Stephen Thompson  vs  Joaquin Buckley,Joaquin Buckley,Welterweight Bout,KO/TKO,3,2:17,3 Rnd (5-5-5),Mike Beltran,Punch to Head At Distance ,http://ufcstats.com/fight-details/69bca5091b2a31f6
133,UFC 307: Pereira Vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",Marina Rodriguez  vs  Iasmin Lucindo,Iasmin Lucindo,Women's Strawweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,Steve Faragher 29 - 28.Mike Bell 28 - 29.Dan Furse 28 - 29.,http://ufcstats.com/fight-details/eb73b63bbd7b88a7
134,UFC 307: Pereira Vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",Austin Hubbard  vs  Alexander Hernandez,Alexander Hernandez,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Tyler Tomlinson,Chris Lee 30 - 27.Dan Furse 28 - 29.Steve Faragher 28 - 29.,http://ufcstats.com/fight-details/e8aad69aace1d31f
135,UFC 307: Pereira Vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",Cesar Almeida  vs  Ihor Potieria,Cesar Almeida,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dave Seljestad,Steve Faragher 27 - 30.Chris Lee 27 - 30.Dan Furse 27 - 30.,http://ufcstats.com/fight-details/ed5b6681ab4e83e5
136,UFC 307: Pereira Vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",Ryan Spann  vs  Ovince Saint Preux,Ryan Spann,Light Heavyweight Bout,Submission,1,1:35,3 Rnd (5-5-5),Mike Beltran,Guillotine Choke Standing ,http://ufcstats.com/fight-details/58dec0a39cdefa3f
137,UFC 307: Pereira Vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",Carla Esparza  vs  Tecia Pennington,Tecia Pennington,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Tyler Tomlinson,Sal D'amato 28 - 29.Steve Faragher 28 - 29.Dan Furse 27 - 30.,http://ufcstats.com/fight-details/58e5fc1914c4e641
138,UFC 307: Pereira Vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",Court McGee  vs  Tim Means,Court McGee,Welterweight Bout,Submission,1,3:19,3 Rnd (5-5-5),Jason Herzog,Rear Naked Choke ,http://ufcstats.com/fight-details/84b3577229880760
139,UFC Fight Night: Moicano Vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",Renato Moicano  vs  Benoit Saint Denis,Renato Moicano,Lightweight Bout,TKO - Doctor's Stoppage,2,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Doctor's Stoppage,http://ufcstats.com/fight-details/7ca4c91bab696b89
140,UFC Fight Night: Moicano Vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",Nassourdine Imavov  vs  Brendan Allen,Nassourdine Imavov,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Sal D'amato 28 - 29.David Lethaby 28 - 29.Anders Ohlsson 28 - 29.,http://ufcstats.com/fight-details/62ff1e5deb124ff5
141,UFC Fight Night: Moicano Vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",William Gomis  vs  Joanderson Brito,William Gomis,Featherweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Ben Cartlidge 28 - 29.Anders Ohlsson 29 - 28.Clemens Werner 28 - 29.,http://ufcstats.com/fight-details/19706d8ba0edf9cd
142,UFC Fight Night: Moicano Vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",Kevin Jousset  vs  Bryan Battle,Bryan Battle,Welterweight Bout,KO/TKO,2,3:47,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance ,http://ufcstats.com/fight-details/45f00a42a17f8e2a
143,UFC Fight Night: Moicano Vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",Morgan Charriere  vs  Gabriel Miranda,Morgan Charriere,Featherweight Bout,KO/TKO,2,0:27,3 Rnd (5-5-5),Marc Goddard,Punch to Head At Distance ,http://ufcstats.com/fight-details/f114929ed709606e
144,UFC Fight Night: Moicano Vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",Fares Ziam  vs  Matt Frevola,Fares Ziam,Lightweight Bout,KO/TKO,3,2:59,3 Rnd (5-5-5),Loic Pora,Knee to Head In Clinch ,http://ufcstats.com/fight-details/d806aacf5b6ba7f6
145,UFC Fight Night: Moicano Vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",Ion Cutelaba  vs  Ivan Erslan,Ion Cutelaba,Light Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Anders Ohlsson 28 - 29.Damien Gluski 29 - 28.Clemens Werner 28 - 29.,http://ufcstats.com/fight-details/89b772f864acb637
146,UFC Fight Night: Moicano Vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",Oumar Sy  vs  Da Woon Jung,Oumar Sy,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Ben Cartlidge 27 - 30.Sal D'amato 27 - 30.David Lethaby 27 - 30.,http://ufcstats.com/fight-details/3599e9de4ae0e171
147,UFC Fight Night: Moicano Vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",Ludovit Klein  vs  Roosevelt Roberts,Ludovit Klein,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Christophe Chapuis,Ludovic Dandine 27 - 30.Anders Ohlsson 28 - 29.Clemens Werner 28 - 29.,http://ufcstats.com/fight-details/e01019fbfe0e9528
148,UFC Fight Night: Moicano Vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",Taylor Lapilus  vs  Vince Morales,Taylor Lapilus,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Mongi Zitouni 27 - 30.Ben Cartlidge 27 - 30.David Lethaby 27 - 30.,http://ufcstats.com/fight-details/d063d46208c560b1
149,UFC Fight Night: Moicano Vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",Ailin Perez  vs  Daria Zhelezniakova,Ailin Perez,Women's Bantamweight Bout,Submission,1,3:52,3 Rnd (5-5-5),Herb Dean,Arm Triangle From Half Guard ,http://ufcstats.com/fight-details/7ba432e218edc17d
150,UFC Fight Night: Moicano Vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",Daniel Barez  vs  Victor Altamirano,Daniel Barez,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Ludovic Dandine 28 - 29.David Lethaby 28 - 29.Clemens Werner 28 - 29.,http://ufcstats.com/fight-details/47d978a984a163aa
151,UFC Fight Night: Moicano Vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",Nora Cornolle  vs  Jacqueline Cavalcanti,Jacqueline Cavalcanti,Women's Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Christophe Chapuis,Mongi Zitouni 29 - 28.Sal D'amato 28 - 29.Anders Ohlsson 28 - 29.,http://ufcstats.com/fight-details/a187670c5ee1ec5f
